,rating
186,5.0
187,5.0
188,4.0
189,5.0
190,4.0
191,1.0
192,3.0
193,3.0
194,5.0
195,5.0
196,5.0
197,4.0
198,4.0
199,5.0
200,5.0
201,5.0
202,4.0
203,4.0
204,4.0
205,5.0
206,4.0
207,4.0
208,5.0
209,5.0
210,5.0
211,4.0
212,4.0
213,5.0
214,4.0
215,3.0
216,4.0
217,4.5
218,4.0
219,4.0
220,3.5
221,4.0
222,4.0
223,4.5
224,5.0
225,4.5
226,3.0
227,4.0
228,3.0
229,4.0
230,4.5
231,5.0
232,4.0
233,5.0
234,3.5
235,2.5
236,3.5
237,5.0
238,3.0
239,4.0
240,2.0
241,3.5
242,5.0
243,0.5
244,0.5
245,0.5
246,0.5
247,0.5
248,0.5
249,0.5
250,0.5
251,0.5
252,0.5
253,3.5
254,0.5
255,3.0
256,4.5
257,0.5
258,0.5
259,0.5
260,2.0
261,4.0
262,0.5
263,5.0
264,4.5
265,0.5
266,0.5
267,5.0
268,0.5
269,0.5
270,5.0
271,5.0
272,0.5
273,3.0
274,3.0
275,3.0
276,5.0
277,1.0
278,5.0
279,3.0
280,5.0
281,2.0
282,5.0
283,1.0
284,2.0
285,3.0
286,5.0
287,1.0
288,5.0
289,5.0
290,4.0
291,4.0
292,3.0
293,3.0
294,4.0
295,2.0
296,1.0
297,2.0
298,5.0
299,5.0
300,5.0
301,1.0
302,5.0
303,1.0
304,2.0
305,4.0
306,5.0
307,3.0
308,2.0
309,5.0
310,3.0
311,4.0
312,4.0
313,4.0
314,5.0
315,4.0
316,4.0
317,4.0
318,5.0
319,5.0
320,5.0
321,5.0
322,5.0
323,5.0
324,5.0
325,4.0
326,5.0
327,3.0
328,2.0
329,4.0
330,5.0
331,2.0
332,5.0
333,5.0
334,5.0
335,3.0
336,5.0
337,5.0
338,4.0
339,1.0
340,5.0
341,5.0
342,5.0
343,2.0
344,5.0
345,4.0
346,4.0
347,4.0
348,5.0
349,4.0
350,4.0
351,4.0
352,2.0
353,5.0
354,5.0
355,4.0
356,4.0
357,3.0
358,5.0
359,4.0
360,4.0
361,4.0
362,1.0
363,2.0
364,4.0
365,1.0
366,4.0
367,4.0
368,5.0
369,5.0
370,4.0
371,3.0
372,2.0
373,4.0
374,3.0
375,4.0
376,3.0
377,5.0
378,2.0
379,5.0
380,4.0
381,4.0
382,5.0
383,4.0
384,3.0
385,5.0
386,5.0
387,5.0
388,4.0
389,5.0
390,1.0
391,2.0
392,5.0
393,3.0
394,4.0
395,1.0
396,5.0
397,5.0
398,1.0
399,4.0
400,2.0
401,4.0
402,1.0
403,2.0
404,5.0
405,4.0
406,5.0
407,2.0
408,2.0
409,4.0
410,4.0
411,5.0
412,4.0
413,3.0
414,4.0
415,1.0
416,4.0
417,4.0
418,4.0
419,4.0
420,3.0
421,5.0
422,4.0
423,4.0
424,2.0
425,1.0
426,5.0
427,2.0
428,1.0
429,4.0
430,3.0
431,4.0
432,3.0
433,1.0
434,3.0
435,4.0
436,3.0
437,4.0
438,5.0
439,4.0
440,2.0
441,5.0
442,4.0
443,1.0
444,1.0
445,3.0
446,5.0
447,4.0
448,4.0
449,4.0
450,4.0
451,3.0
452,4.0
453,4.0
454,3.0
455,3.0
456,5.0
457,3.0
458,4.0
459,1.0
460,5.0
461,5.0
462,3.0
463,2.0
464,3.0
465,3.0
466,3.0
467,2.0
468,3.0
469,4.0
470,2.0
471,3.0
472,4.0
473,4.0
474,5.0
475,3.0
476,5.0
477,4.0
478,3.0
479,4.0
480,3.0
481,5.0
482,3.0
483,5.0
484,5.0
485,5.0
486,3.0
487,3.0
488,4.0
489,5.0
490,3.0
491,5.0
492,4.0
493,4.0
494,3.0
495,3.0
496,4.0
497,3.0
498,4.0
499,4.0
500,4.0
501,2.0
502,2.0
503,5.0
504,4.0
505,3.0
506,4.0
507,3.0
508,3.0
509,4.0
510,5.0
511,4.0
512,4.0
513,3.0
514,4.0
515,1.0
516,4.0
517,4.0
518,4.0
519,4.0
520,3.0
521,3.0
522,4.0
523,3.0
524,5.0
525,3.0
526,2.0
527,4.0
528,4.0
529,4.0
530,4.0
531,3.0
532,1.0
533,4.0
534,3.0
535,5.0
536,3.0
537,3.0
538,3.0
539,3.0
540,4.0
541,4.0
542,4.0
543,4.0
544,4.0
545,3.0
546,4.0
547,3.0
548,5.0
549,3.0
550,3.0
551,3.0
552,5.0
553,3.0
554,3.0
555,3.0
556,3.0
557,2.0
558,3.0
559,3.0
560,3.0
561,2.0
562,4.0
563,3.0
564,3.0
565,3.0
566,4.0
567,3.0
568,3.0
569,4.0
570,4.0
571,3.0
572,2.0
573,4.0
574,3.0
575,4.0
576,5.0
577,2.0
578,4.0
579,4.0
580,3.0
581,3.0
582,5.0
583,3.0
584,3.0
585,3.0
586,5.0
587,3.0
588,4.0
589,5.0
590,3.0
591,3.0
592,3.0
593,4.0
594,4.0
595,4.0
596,5.0
597,4.0
598,3.0
599,2.0
600,3.0
601,3.0
602,4.0
603,2.0
604,3.0
605,4.0
606,1.0
607,3.0
608,5.0
609,4.0
610,5.0
611,4.0
612,5.0
613,1.0
614,4.0
615,3.0
616,3.0
617,5.0
618,5.0
619,4.0
620,4.0
621,3.0
622,3.0
623,3.0
624,3.0
625,3.0
626,5.0
627,5.0
628,4.0
629,4.0
630,4.0
631,4.0
632,5.0
633,3.0
634,3.0
635,3.0
636,4.0
637,3.0
638,5.0
639,4.0
640,5.0
641,4.0
642,3.0
643,3.0
644,5.0
645,3.0
646,4.0
647,3.0
648,3.0
649,3.0
650,3.0
651,4.0
652,3.0
653,3.0
654,5.0
655,4.0
656,3.0
657,3.0
658,4.0
659,3.0
660,4.0
661,4.0
662,3.0
663,5.0
664,3.0
665,3.0
666,2.0
667,4.0
668,4.0
669,3.0
670,4.0
671,4.0
672,5.0
673,3.0
674,3.0
675,3.0
676,4.0
677,3.0
678,3.0
679,3.0
680,5.0
681,3.0
682,3.0
683,4.0
684,3.0
685,4.0
686,4.0
687,3.0
688,3.0
689,3.0
690,3.0
691,3.0
692,3.0
693,3.0
694,3.0
695,3.0
696,4.0
697,3.0
698,3.0
699,3.0
700,5.0
701,4.0
702,3.0
703,5.0
704,5.0
705,3.0
706,5.0
707,3.0
708,4.0
709,4.0
710,5.0
711,3.0
712,4.0
713,3.0
714,3.0
715,4.0
716,5.0
717,3.0
718,4.0
719,4.0
720,1.0
721,4.0
722,3.0
723,3.0
724,3.0
725,4.0
726,3.0
727,4.0
728,5.0
729,3.0
730,4.0
731,2.0
732,5.0
733,3.0
734,1.0
735,3.0
736,5.0
737,3.0
738,3.0
739,4.0
740,3.0
741,5.0
742,4.0
743,3.0
744,4.0
745,3.0
746,3.0
747,4.0
748,4.0
749,3.0
750,3.0
751,3.0
752,4.0
753,4.0
754,4.0
755,2.0
756,4.0
757,4.0
758,5.0
759,4.0
760,4.0
761,3.0
762,4.0
763,3.0
764,4.5
765,4.5
766,4.5
767,4.0
768,5.0
769,5.0
770,3.0
771,5.0
772,5.0
773,2.0
774,3.0
775,2.5
776,3.0
777,5.0
778,3.5
779,4.0
780,4.0
781,3.0
782,4.0
783,4.0
784,1.5
785,4.0
786,4.0
787,4.0
788,5.0
789,4.5
790,5.0
791,1.5
792,5.0
793,3.5
794,5.0
795,4.0
796,3.0
797,3.0
798,0.5
799,4.0
800,1.5
801,4.5
802,3.5
803,5.0
804,1.5
805,3.0
806,4.5
807,2.0
808,2.5
809,1.5
810,3.5
811,4.5
812,4.0
813,4.5
814,1.5
815,4.5
816,1.5
817,1.0
818,3.5
819,5.0
820,4.0
821,2.5
822,3.0
823,4.0
824,2.0
825,2.0
826,4.0
827,0.5
828,4.5
829,1.0
830,1.5
831,1.5
832,3.0
833,4.0
834,4.5
835,4.5
836,3.5
837,3.5
838,0.5
839,4.0
840,3.0
841,1.5
842,4.5
843,4.5
844,4.0
845,4.5
846,4.0
847,4.0
848,0.5
849,4.5
850,4.5
851,2.0
852,4.5
853,4.0
854,3.0
855,4.0
856,4.5
857,3.5
858,2.5
859,2.0
860,4.5
861,4.5
862,3.5
863,1.0
864,1.0
865,4.5
866,1.5
867,1.0
868,3.5
869,1.0
870,4.5
871,4.0
872,4.0
873,3.5
874,4.0
875,1.0
876,2.5
877,2.5
878,4.0
879,3.5
880,2.0
881,2.0
882,1.5
883,2.0
884,3.5
885,3.5
886,1.0
887,2.0
888,1.0
889,3.0
890,4.5
891,3.5
892,4.5
893,4.0
894,4.5
895,1.0
896,0.5
897,1.0
898,1.0
899,4.5
900,2.5
901,4.5
902,0.5
903,3.0
904,4.0
905,2.0
906,4.0
907,4.0
908,5.0
909,3.0
910,5.0
911,3.0
912,3.0
913,4.0
914,2.0
915,5.0
916,4.0
917,3.0
918,3.0
919,3.0
920,5.0
921,3.0
922,3.0
923,4.0
924,3.0
925,5.0
926,3.0
927,3.0
928,5.0
929,5.0
930,3.0
931,4.0
932,5.0
933,1.0
934,3.0
935,4.0
936,3.0
937,4.0
938,2.0
939,5.0
940,3.0
941,3.0
942,3.0
943,5.0
944,3.0
945,4.0
946,3.0
947,3.0
948,3.0
949,4.0
950,3.0
951,3.0
952,5.0
953,2.0
954,4.0
955,5.0
956,4.0
957,3.0
958,4.0
959,3.0
960,5.0
961,3.0
962,2.0
963,2.0
964,3.0
965,3.0
966,1.0
967,1.0
968,5.0
969,4.0
970,3.0
971,4.0
972,4.0
973,5.0
974,1.0
975,1.0
976,3.0
977,3.0
978,5.0
979,5.0
980,4.0
981,4.0
982,2.0
983,4.0
984,1.0
985,3.5
986,4.0
987,3.5
988,4.0
989,0.5
990,3.0
991,3.0
992,3.5
993,4.0
994,0.5
995,3.5
996,0.5
997,1.0
998,0.5
999,4.0
1000,3.0
1001,3.5
1002,4.5
1003,4.5
1004,4.0
1005,4.0
1006,3.0
1007,3.5
1008,3.0
1009,3.0
1010,4.0
1011,3.0
1012,3.0
1013,3.0
1014,3.5
1015,4.0
1016,4.0
1017,4.0
1018,3.0
1019,4.0
1020,4.0
1021,4.5
1022,3.5
1023,4.0
1024,3.5
1025,5.0
1026,3.5
1027,5.0
1028,3.5
1029,3.5
1030,3.0
1031,5.0
1032,2.5
1033,3.5
1034,1.0
1035,3.5
1036,2.5
1037,4.5
1038,3.0
1039,3.0
1040,5.0
1041,3.0
1042,4.0
1043,2.5
1044,3.0
1045,5.0
1046,5.0
1047,3.0
1048,1.5
1049,3.5
1050,3.5
1051,3.0
1052,3.5
1053,4.5
1054,2.5
1055,2.0
1056,2.5
1057,3.5
1058,4.5
1059,0.5
1060,3.5
1061,4.0
1062,4.5
1063,3.0
1064,3.0
1065,0.5
1066,5.0
1067,2.5
1068,3.0
1069,3.5
1070,3.5
1071,2.5
1072,3.0
1073,3.0
1074,3.0
1075,5.0
1076,3.5
1077,2.5
1078,5.0
1079,3.5
1080,3.5
1081,2.0
1082,3.5
1083,3.0
1084,3.5
1085,3.0
1086,3.0
1087,5.0
1088,5.0
1089,4.5
1090,4.0
1091,4.0
1092,3.0
1093,3.5
1094,5.0
1095,1.0
1096,3.0
1097,4.0
1098,4.0
1099,4.0
1100,3.5
1101,4.5
1102,1.0
1103,2.0
1104,0.5
1105,0.5
1106,4.0
1107,1.0
1108,5.0
1109,5.0
1110,5.0
1111,3.0
1112,4.0
1113,2.0
1114,3.0
1115,5.0
1116,5.0
1117,3.0
1118,3.0
1119,4.0
1120,3.0
1121,4.0
1122,4.0
1123,5.0
1124,5.0
1125,3.0
1126,2.0
1127,3.0
1128,4.0
1129,3.0
1130,5.0
1131,3.0
1132,4.0
1133,4.0
1134,3.0
1135,5.0
1136,4.0
1137,5.0
1138,4.0
1139,4.0
1140,4.0
1141,3.0
1142,5.0
1143,4.0
1144,4.0
1145,3.0
1146,3.0
1147,5.0
1148,3.0
1149,4.0
1150,4.0
1151,3.0
1152,5.0
1153,4.0
1154,4.0
1155,4.0
1156,4.0
1157,3.0
1158,3.0
1159,5.0
1160,4.0
1161,5.0
1162,5.0
1163,4.0
1164,2.0
1165,4.0
1166,4.0
1167,4.0
1168,2.0
1169,5.0
1170,4.0
1171,5.0
1172,5.0
1173,5.0
1174,4.5
1175,3.0
1176,3.5
1177,3.5
1178,4.0
1179,5.0
1180,4.5
1181,3.5
1182,5.0
1183,3.0
1184,5.0
1185,3.5
1186,5.0
1187,3.5
1188,3.0
1189,5.0
1190,5.0
1191,5.0
1192,4.0
1193,5.0
1194,5.0
1195,4.5
1196,4.5
1197,4.0
1198,5.0
1199,5.0
1200,5.0
1201,5.0
1202,3.0
1203,3.0
1204,4.0
1205,3.0
1206,4.0
1207,4.0
1208,3.0
1209,3.0
1210,2.0
1211,5.0
1212,4.0
1213,2.0
1214,3.0
1215,5.0
1216,4.0
1217,3.0
1218,4.0
1219,4.0
1220,4.0
1221,4.0
1222,4.0
1223,3.0
1224,4.0
1225,3.0
1226,3.0
1227,5.0
1228,4.0
1229,3.0
1230,3.0
1231,1.0
1232,4.0
1233,3.0
1234,5.0
1235,3.0
1236,5.0
1237,4.0
1238,2.0
1239,3.0
1240,5.0
1241,5.0
1242,4.0
1243,3.0
1244,3.0
1245,5.0
1246,4.0
1247,2.0
1248,3.0
1249,4.0
1250,1.0
1251,4.0
1252,3.0
1253,4.0
1254,3.0
1255,3.0
1256,3.0
1257,3.0
1258,3.0
1259,5.0
1260,3.0
1261,3.0
1262,4.0
1263,3.0
1264,3.0
1265,4.0
1266,3.0
1267,4.0
1268,2.0
1269,4.0
1270,3.0
1271,1.0
1272,2.5
1273,1.0
1274,1.0
1275,1.0
1276,3.0
1277,5.0
1278,4.0
1279,5.0
1280,1.0
1281,5.0
1282,3.0
1283,5.0
1284,3.0
1285,5.0
1286,2.0
1287,4.0
1288,5.0
1289,5.0
1290,5.0
1291,5.0
1292,4.0
1293,3.5
1294,5.0
1295,3.0
1296,3.0
1297,4.5
1298,2.5
1299,5.0
1300,5.0
1301,4.0
1302,3.5
1303,3.0
1304,5.0
1305,2.5
1306,4.5
1307,4.0
1308,3.0
1309,4.0
1310,4.5
1311,2.5
1312,5.0
1313,5.0
1314,4.0
1315,5.0
1316,3.5
1317,4.0
1318,5.0
1319,1.5
1320,3.0
1321,4.0
1322,3.0
1323,4.0
1324,3.5
1325,1.5
1326,3.0
1327,4.0
1328,5.0
1329,3.5
1330,5.0
1331,4.0
1332,3.5
1333,5.0
1334,3.0
1335,3.5
1336,3.0
1337,3.5
1338,3.0
1339,2.5
1340,3.5
1341,2.5
1342,5.0
1343,4.5
1344,3.0
1345,4.5
1346,3.0
1347,3.5
1348,2.0
1349,2.0
1350,3.5
1351,3.0
1352,4.0
1353,3.0
1354,3.5
1355,4.0
1356,3.5
1357,4.0
1358,2.5
1359,3.0
1360,3.5
1361,5.0
1362,4.5
1363,3.5
1364,2.0
1365,3.0
1366,2.0
1367,3.0
1368,3.0
1369,4.0
1370,1.0
1371,4.0
1372,3.5
1373,4.5
1374,4.0
1375,2.0
1376,4.0
1377,1.5
1378,4.5
1379,4.5
1380,1.5
1381,2.0
1382,2.0
1383,2.5
1384,2.0
1385,5.0
1386,2.0
1387,2.0
1388,1.0
1389,4.0
1390,4.5
1391,3.0
1392,5.0
1393,3.0
1394,3.5
1395,3.5
1396,5.0
1397,3.5
1398,4.0
1399,4.5
1400,2.0
1401,3.0
1402,3.0
1403,4.0
1404,4.0
1405,3.5
1406,4.0
1407,4.5
1408,3.0
1409,4.5
1410,4.0
1411,4.0
1412,4.5
1413,2.5
1414,3.5
1415,3.5
1416,4.0
1417,3.5
1418,4.0
1419,4.0
1420,4.0
1421,4.0
1422,3.5
1423,2.5
1424,4.0
1425,3.0
1426,4.0
1427,5.0
1428,4.0
1429,4.0
1430,4.0
1431,3.5
1432,4.0
1433,3.0
1434,4.5
1435,4.0
1436,4.0
1437,4.0
1438,4.5
1439,4.0
1440,4.0
1441,4.0
1442,3.0
1443,4.0
1444,3.5
1445,3.5
1446,3.5
1447,3.5
1448,3.5
1449,1.5
1450,3.0
1451,3.5
1452,3.0
1453,3.5
1454,3.5
1455,3.5
1456,3.5
1457,3.5
1458,3.5
1459,4.0
1460,3.5
1461,3.5
1462,4.0
1463,4.0
1464,4.0
1465,3.5
1466,3.0
1467,4.5
1468,3.5
1469,3.5
1470,3.5
1471,3.5
1472,3.5
1473,4.0
1474,4.0
1475,4.5
1476,4.0
1477,4.0
1478,4.5
1479,3.0
1480,4.5
1481,4.5
1482,3.5
1483,4.5
1484,4.5
1485,4.0
1486,3.5
1487,5.0
1488,5.0
1489,5.0
1490,5.0
1491,4.5
1492,4.5
1493,3.5
1494,4.5
1495,4.5
1496,4.5
1497,4.5
1498,4.5
1499,5.0
1500,3.5
1501,4.0
1502,3.5
1503,4.5
1504,4.0
1505,4.0
1506,4.5
1507,4.0
1508,3.5
1509,4.5
1510,5.0
1511,3.5
1512,5.0
1513,5.0
1514,4.5
1515,4.5
1516,4.5
1517,4.5
1518,4.0
1519,5.0
1520,4.0
1521,4.0
1522,4.0
1523,4.0
1524,4.5
1525,4.0
1526,3.0
1527,3.5
1528,4.0
1529,3.0
1530,5.0
1531,4.0
1532,4.0
1533,4.5
1534,4.0
1535,4.5
1536,4.5
1537,5.0
1538,3.5
1539,4.0
1540,4.0
1541,4.5
1542,4.5
1543,4.5
1544,4.0
1545,3.5
1546,4.0
1547,3.5
1548,4.5
1549,4.0
1550,4.0
1551,4.5
1552,5.0
1553,3.5
1554,4.5
1555,4.0
1556,4.0
1557,4.0
1558,4.0
1559,4.5
1560,3.5
1561,3.5
1562,4.0
1563,4.5
1564,3.5
1565,4.0
1566,4.5
1567,4.0
1568,3.5
1569,3.5
1570,3.0
1571,4.0
1572,4.5
1573,2.5
1574,4.0
1575,5.0
1576,3.5
1577,2.5
1578,4.5
1579,4.0
1580,3.5
1581,4.0
1582,4.0
1583,4.0
1584,3.0
1585,4.0
1586,4.5
1587,4.0
1588,4.0
1589,4.0
1590,5.0
1591,4.0
1592,4.0
1593,2.5
1594,4.5
1595,3.0
1596,2.5
1597,3.0
1598,2.5
1599,2.5
1600,2.5
1601,4.0
1602,2.0
1603,3.0
1604,3.5
1605,2.5
1606,3.5
1607,3.5
1608,2.0
1609,4.0
1610,4.5
1611,4.0
1612,4.0
1613,3.5
1614,3.5
1615,4.5
1616,4.0
1617,4.5
1618,3.0
1619,4.5
1620,3.5
1621,3.0
1622,3.0
1623,3.0
1624,4.0
1625,4.5
1626,2.0
1627,4.0
1628,4.5
1629,4.0
1630,4.0
1631,4.0
1632,5.0
1633,4.0
1634,3.5
1635,4.0
1636,3.5
1637,4.5
1638,4.0
1639,4.0
1640,4.0
1641,4.5
1642,4.5
1643,4.5
1644,4.0
1645,5.0
1646,4.5
1647,4.5
1648,3.5
1649,4.5
1650,4.5
1651,4.5
1652,4.0
1653,4.5
1654,5.0
1655,4.5
1656,4.5
1657,4.5
1658,4.5
1659,4.0
1660,4.0
1661,4.0
1662,4.5
1663,4.0
1664,4.0
1665,4.0
1666,3.5
1667,4.0
1668,4.0
1669,4.5
1670,3.5
1671,4.0
1672,4.5
1673,3.5
1674,4.0
1675,2.5
1676,3.5
1677,3.5
1678,3.0
1679,4.0
1680,3.5
1681,3.5
1682,3.5
1683,3.0
1684,4.0
1685,4.0
1686,4.0
1687,4.5
1688,3.5
1689,3.5
1690,4.0
1691,3.0
1692,3.5
1693,2.5
1694,4.0
1695,4.0
1696,4.0
1697,3.5
1698,3.5
1699,3.5
1700,3.0
1701,4.0
1702,3.5
1703,4.0
1704,3.0
1705,3.5
1706,4.0
1707,3.5
1708,4.0
1709,4.0
1710,4.0
1711,3.5
1712,3.0
1713,3.0
1714,4.0
1715,3.0
1716,3.0
1717,3.0
1718,3.5
1719,4.5
1720,4.5
1721,2.5
1722,3.5
1723,4.5
1724,3.5
1725,3.0
1726,4.5
1727,4.0
1728,4.5
1729,4.0
1730,4.0
1731,3.0
1732,3.0
1733,4.5
1734,4.0
1735,4.5
1736,3.5
1737,3.5
1738,2.0
1739,4.0
1740,4.0
1741,4.5
1742,2.5
1743,4.0
1744,4.5
1745,4.5
1746,4.0
1747,4.0
1748,4.0
1749,4.0
1750,3.0
1751,3.0
1752,3.0
1753,4.0
1754,4.5
1755,4.5
1756,4.5
1757,4.5
1758,4.0
1759,3.5
1760,4.0
1761,4.0
1762,4.0
1763,4.0
1764,3.0
1765,3.5
1766,3.5
1767,4.0
1768,3.5
1769,3.5
1770,2.5
1771,3.5
1772,4.0
1773,4.0
1774,4.5
1775,3.0
1776,4.0
1777,3.5
1778,3.5
1779,4.0
1780,3.0
1781,4.5
1782,3.0
1783,4.5
1784,2.0
1785,3.0
1786,4.0
1787,4.5
1788,3.5
1789,4.0
1790,3.5
1791,0.5
1792,3.0
1793,3.5
1794,4.5
1795,4.5
1796,4.5
1797,3.0
1798,3.0
1799,2.5
1800,4.0
1801,3.5
1802,3.5
1803,3.5
1804,3.0
1805,3.5
1806,2.5
1807,3.5
1808,4.0
1809,3.5
1810,4.0
1811,3.5
1812,4.0
1813,3.5
1814,4.0
1815,3.5
1816,3.0
1817,3.5
1818,3.5
1819,3.5
1820,4.5
1821,4.0
1822,4.0
1823,2.0
1824,3.5
1825,3.5
1826,3.0
1827,3.5
1828,4.5
1829,3.5
1830,3.5
1831,3.0
1832,4.0
1833,1.5
1834,4.0
1835,4.0
1836,4.0
1837,4.0
1838,4.0
1839,4.0
1840,3.5
1841,4.5
1842,4.5
1843,4.5
1844,4.0
1845,3.5
1846,4.0
1847,3.5
1848,1.0
1849,3.0
1850,4.5
1851,4.5
1852,3.5
1853,3.5
1854,4.5
1855,3.5
1856,4.5
1857,3.5
1858,3.0
1859,2.5
1860,2.5
1861,3.0
1862,3.0
1863,3.5
1864,4.0
1865,4.5
1866,3.5
1867,4.0
1868,4.5
1869,4.5
1870,4.0
1871,3.5
1872,4.0
1873,3.5
1874,4.0
1875,4.0
1876,2.5
1877,4.0
1878,3.5
1879,2.5
1880,3.5
1881,3.0
1882,3.5
1883,3.5
1884,3.5
1885,3.5
1886,3.5
1887,4.0
1888,4.5
1889,3.5
1890,4.0
1891,4.0
1892,3.5
1893,4.0
1894,3.0
1895,4.0
1896,4.0
1897,3.5
1898,3.5
1899,3.0
1900,4.5
1901,3.5
1902,3.0
1903,4.0
1904,4.5
1905,3.5
1906,3.5
1907,4.5
1908,3.5
1909,3.0
1910,2.5
1911,4.5
1912,4.0
1913,3.0
1914,4.0
1915,4.5
1916,3.0
1917,3.0
1918,3.5
1919,4.0
1920,3.5
1921,4.0
1922,4.5
1923,3.0
1924,4.5
1925,3.5
1926,3.5
1927,3.5
1928,3.0
1929,4.0
1930,3.0
1931,4.0
1932,4.0
1933,3.5
1934,4.0
1935,4.0
1936,4.0
1937,3.5
1938,2.5
1939,4.0
1940,4.0
1941,3.0
1942,4.0
1943,3.5
1944,3.0
1945,4.0
1946,3.5
1947,4.0
1948,4.0
1949,3.5
1950,4.0
1951,3.5
1952,4.0
1953,4.0
1954,3.5
1955,4.0
1956,3.0
1957,3.0
1958,3.5
1959,4.0
1960,3.5
1961,3.0
1962,4.0
1963,4.5
1964,3.5
1965,4.0
1966,3.5
1967,4.0
1968,4.5
1969,4.5
1970,3.5
1971,4.5
1972,4.5
1973,3.5
1974,4.0
1975,3.5
1976,4.0
1977,4.0
1978,3.5
1979,4.0
1980,3.5
1981,4.0
1982,3.0
1983,4.0
1984,3.5
1985,3.5
1986,4.5
1987,3.5
1988,3.5
1989,3.5
1990,4.5
1991,4.0
1992,4.0
1993,4.0
1994,3.5
1995,3.5
1996,3.0
1997,4.0
1998,3.5
1999,3.5
2000,3.0
2001,4.0
2002,4.0
2003,3.5
2004,4.5
2005,3.0
2006,4.0
2007,3.0
2008,3.0
2009,2.0
2010,2.0
2011,1.0
2012,3.0
2013,2.0
2014,2.0
2015,4.0
2016,3.0
2017,1.0
2018,2.0
2019,2.0
2020,2.0
2021,2.0
2022,2.0
2023,2.0
2024,1.0
2025,2.0
2026,2.0
2027,3.0
2028,1.0
2029,2.0
2030,3.0
2031,2.0
2032,3.0
2033,3.0
2034,1.0
2035,2.0
2036,2.0
2037,2.0
2038,2.0
2039,2.0
2040,3.0
2041,4.0
2042,3.0
2043,1.0
2044,3.0
2045,4.0
2046,2.0
2047,2.0
2048,2.0
2049,1.0
2050,2.0
2051,2.0
2052,2.0
2053,3.0
2054,2.0
2055,2.0
2056,2.0
2057,3.0
2058,2.0
2059,2.0
2060,2.0
2061,2.0
2062,5.0
2063,2.0
2064,4.0
2065,2.0
2066,3.0
2067,4.0
2068,3.0
2069,3.0
2070,1.0
2071,2.0
2072,4.0
2073,3.0
2074,2.0
2075,3.0
2076,3.0
2077,2.0
2078,2.0
2079,2.0
2080,3.0
2081,3.0
2082,3.0
2083,3.0
2084,3.0
2085,2.0
2086,3.0
2087,3.0
2088,2.0
2089,2.0
2090,2.0
2091,4.0
2092,3.0
2093,3.0
2094,2.0
2095,3.0
2096,2.0
2097,2.0
2098,2.0
2099,2.0
2100,2.0
2101,3.0
2102,2.0
2103,2.0
2104,3.0
2105,2.0
2106,1.0
2107,3.0
2108,1.0
2109,4.0
2110,2.0
2111,3.0
2112,5.0
2113,2.0
2114,2.0
2115,3.0
2116,3.0
2117,3.0
2118,5.0
2119,5.0
2120,3.0
2121,2.0
2122,3.0
2123,2.0
2124,2.0
2125,2.0
2126,1.0
2127,3.0
2128,2.0
2129,3.0
2130,2.0
2131,1.0
2132,4.0
2133,3.0
2134,2.0
2135,3.0
2136,2.0
2137,4.0
2138,4.0
2139,3.0
2140,2.0
